CompanyCode,Plant,Material,Quantity,Amount,Currency,DocumentType,PostingDate,CostCenter,ProfitCenter,GLAccount,Vendor,Customer,FiscalYear,FiscalPeriod,DocumentNumber
COMP_A,PLANT_2,MAT_00090,354.29,163.78,EUR,GI,2023-10-02,CC_1009,PC_102,G/L_40014,,CUST_50086,2023,10,DOC_31418552
COMP_B,PLANT_4,MAT_00099,353.51,8543.92,EUR,GI,2025-05-31,CC_1010,PC_103,G/L_40033,,CUST_50088,2025,5,DOC_46425426
COMP_B,PLANT_2,MAT_00051,823.48,6088.0,EUR,SO,2025-04-16,CC_1004,PC_110,G/L_40084,,CUST_50081,2025,4,DOC_87922216
COMP_A,PLANT_3,MAT_00036,90.71,6671.13,EUR,SO,2024-06-04,CC_1002,PC_102,G/L_40027,,CUST_50037,2024,6,DOC_65418710
COMP_B,PLANT_3,MAT_00005,77.45,3605.26,EUR,GR,2024-11-09,CC_1009,PC_102,G/L_40023,VEND_10037,,2024,11,DOC_93107168
COMP_D,PLANT_2,MAT_00010,322.62,550.61,EUR,INV,2025-07-02,CC_1002,PC_106,G/L_40000,VEND_10067,CUST_50009,2025,7,DOC_38364753
COMP_B,PLANT_3,MAT_00050,610.85,4042.31,EUR,GR,2023-08-08,CC_1001,PC_103,G/L_40061,VEND_10011,,2023,8,DOC_53592509
COMP_A,PLANT_3,MAT_00044,870.24,3247.91,EUR,PO,2024-03-12,CC_1004,PC_103,G/L_40088,VEND_10018,,2024,3,DOC_96529374
COMP_D,PLANT_1,MAT_00060,23.19,5395.1,EUR,INV,2024-05-09,CC_1018,PC_107,G/L_40088,VEND_10087,CUST_50072,2024,5,DOC_69021441
COMP_D,PLANT_5,MAT_00023,385.05,5489.83,EUR,GI,2025-04-11,CC_1009,PC_110,G/L_40037,,CUST_50011,2025,4,DOC_98302754
COMP_D,PLANT_2,MAT_00012,271.3,1657.47,EUR,INV,2024-09-23,CC_1018,PC_108,G/L_40092,VEND_10011,CUST_50081,2024,9,DOC_84924784
COMP_C,PLANT_3,MAT_00051,643.22,6444.4,EUR,PO,2025-04-28,CC_1018,PC_107,G/L_40027,VEND_10009,,2025,4,DOC_93351351
COMP_B,PLANT_5,MAT_00061,726.8,2083.11,EUR,GI,2024-07-19,CC_1012,PC_105,G/L_40002,,CUST_50015,2024,7,DOC_07303875
COMP_C,PLANT_2,MAT_00010,434.34,7592.45,EUR,GI,2023-11-27,CC_1017,PC_101,G/L_40073,,CUST_50077,2023,11,DOC_93425124
COMP_C,PLANT_5,MAT_00051,364.11,1176.87,EUR,INV,2024-02-15,CC_1011,PC_103,G/L_40046,VEND_10040,CUST_50038,2024,2,DOC_80811924
COMP_B,PLANT_5,MAT_00096,927.53,1256.88,EUR,GI,2024-12-27,CC_1005,PC_103,G/L_40050,,CUST_50019,2024,12,DOC_38999542
COMP_C,PLANT_5,MAT_00081,661.14,5535.91,EUR,INV,2023-11-03,CC_1017,PC_107,G/L_40039,VEND_10063,CUST_50038,2023,11,DOC_19049538
COMP_C,PLANT_3,MAT_00057,119.7,783.67,EUR,INV,2024-04-17,CC_1012,PC_105,G/L_40052,VEND_10059,CUST_50015,2024,4,DOC_50414124
COMP_A,PLANT_1,MAT_00078,390.95,8286.46,EUR,SO,2024-10-11,CC_1005,PC_110,G/L_40072,,CUST_50048,2024,10,DOC_37246848
COMP_D,PLANT_3,MAT_00084,105.56,1154.51,EUR,PO,2024-11-27,CC_1005,PC_104,G/L_40027,VEND_10046,,2024,11,DOC_41986817
COMP_C,PLANT_4,MAT_00100,109.28,7083.76,EUR,PO,2023-09-27,CC_1020,PC_105,G/L_40069,VEND_10052,,2023,9,DOC_88463460
COMP_A,PLANT_3,MAT_00028,211.49,9933.97,EUR,GI,2025-05-27,CC_1006,PC_109,G/L_40020,,CUST_50080,2025,5,DOC_55125947
COMP_A,PLANT_5,MAT_00018,315.88,3819.43,EUR,SO,2023-12-05,CC_1011,PC_109,G/L_40086,,CUST_50020,2023,12,DOC_32135092
COMP_B,PLANT_3,MAT_00012,627.36,748.98,EUR,PO,2024-03-02,CC_1016,PC_109,G/L_40053,VEND_10045,,2024,3,DOC_62217719
COMP_C,PLANT_1,MAT_00032,278.07,9671.97,EUR,INV,2025-03-23,CC_1003,PC_108,G/L_40014,VEND_10045,CUST_50074,2025,3,DOC_44379481
COMP_D,PLANT_4,MAT_00059,224.93,6375.23,EUR,INV,2025-02-04,CC_1016,PC_106,G/L_40090,VEND_10033,CUST_50043,2025,2,DOC_62452733
COMP_C,PLANT_4,MAT_00054,628.87,8513.06,EUR,PO,2024-06-06,CC_1009,PC_106,G/L_40005,VEND_10028,,2024,6,DOC_70324941
COMP_D,PLANT_5,MAT_00046,518.01,5925.03,EUR,SO,2025-02-13,CC_1008,PC_108,G/L_40084,,CUST_50038,2025,2,DOC_38393260
COMP_B,PLANT_2,MAT_00013,201.98,7348.83,EUR,GR,2024-05-19,CC_1017,PC_108,G/L_40084,VEND_10097,,2024,5,DOC_64058243
COMP_B,PLANT_2,MAT_00046,382.52,9754.84,EUR,INV,2025-04-25,CC_1003,PC_103,G/L_40000,VEND_10078,CUST_50020,2025,4,DOC_29283573
COMP_D,PLANT_2,MAT_00071,875.51,4604.07,EUR,PO,2023-09-30,CC_1007,PC_106,G/L_40066,VEND_10074,,2023,9,DOC_39117461
COMP_A,PLANT_2,MAT_00023,882.09,7761.08,EUR,INV,2025-01-30,CC_1006,PC_106,G/L_40023,VEND_10041,CUST_50087,2025,1,DOC_89320456
COMP_C,PLANT_1,MAT_00008,351.97,8281.46,EUR,GR,2023-07-11,CC_1015,PC_105,G/L_40008,VEND_10062,,2023,7,DOC_65082787
COMP_C,PLANT_3,MAT_00055,411.87,7536.54,EUR,INV,2024-04-19,CC_1001,PC_102,G/L_40062,VEND_10041,CUST_50025,2024,4,DOC_34181156
COMP_A,PLANT_1,MAT_00038,90.05,6151.74,EUR,GI,2024-08-03,CC_1010,PC_101,G/L_40095,,CUST_50025,2024,8,DOC_49019619
